address,categories/0,categories/1,categories/2,categories/3,categoryName,description,location/lat,location/lng,openingHours/0/day,openingHours/0/hours,openingHours/1/day,openingHours/1/hours,openingHours/2/day,openingHours/2/hours,openingHours/3/day,openingHours/3/hours,openingHours/4/day,openingHours/4/hours,openingHours/5/day,openingHours/5/hours,openingHours/6/day,openingHours/6/hours,reviewsCount,state,street,title,totalScore,R_ID,Location_ID
722台灣台南市佳里區進學路286號,中餐館,,,,中餐館,,23.1642677,120.175123,星期五,11:00 to 19:20,星期六,休息,星期日,休息,星期一,11:00 to 19:20,星期二,11:00 to 19:20,星期三,11:00 to 19:20,星期四,11:00 to 19:20,198,台南市佳里區,進學路286號,川味牛肉麵,4.1,17,90017
723台灣台南市西港區1號,餐廳,,,,餐廳,,23.1389261,120.2161564,星期五,"11:00 to 14:00, 17:00 to 20:30",星期六,"11:00 to 14:00, 17:00 to 20:30",星期日,"11:00 to 14:00, 17:00 to 20:30",星期一,休息,星期二,"11:00 to 14:00, 17:00 to 20:30",星期三,"11:00 to 14:00, 17:00 to 20:30",星期四,"11:00 to 14:00, 17:00 to 20:30",2465,台南市西港區,1號,穀倉餐廳,4.5,18,90018
709台灣台南市安南區長溪街三段418巷1號,早餐餐廳,,,,早餐餐廳,,23.0684578,120.1963005,星期五,05:30 to 08:30,星期六,05:30 to 09:30,星期日,休息,星期一,05:30 to 08:30,星期二,05:30 to 08:30,星期三,05:30 to 08:30,星期四,05:30 to 08:30,2,台南市安南區,長溪街三段418巷1號,尚品早餐店,5.0,19,90019
700台灣台南市中西區青年路95號,餐廳,,,,餐廳,,22.9921636,120.2083373,星期五,"11:30 to 14:30, 17:30 to 21:30",星期六,"11:30 to 14:30, 17:30 to 21:30",星期日,"11:30 to 14:30, 17:30 to 21:30",星期一,"11:30 to 14:30, 17:30 to 21:30",星期二,"11:30 to 14:30, 17:30 to 21:30",星期三,"11:30 to 14:30, 17:30 to 21:30",星期四,"11:30 to 14:30, 17:30 to 21:30",658,台南市中西區,青年路95號,Saüté Restaurant 索緹餐酒,4.4,20,90020
732台灣台南市白河區中正路53號,餐廳,,,,餐廳,,23.3496726,120.4137671,星期五,05:00 to 10:30,星期六,05:00 to 10:30,星期日,05:00 to 10:30,星期一,05:00 to 10:30,星期二,05:00 to 10:30,星期三,05:00 to 10:30,星期四,05:00 to 10:30,12,台南市白河區,中正路53號,東方美早餐店,4.8,21,90021
732台灣台南市白河區中正路41號,中式麵食店,,,,中式麵食店,,23.3496276,120.4142682,星期五,08:00 to 20:00,星期六,休息,星期日,休息,星期一,08:00 to 20:00,星期二,08:00 to 20:00,星期三,08:00 to 20:00,星期四,08:00 to 20:00,89,台南市白河區,中正路41號,楊家牛肉麵,4.2,22,90022
731台灣台南市後壁區98-5號 楊媽媽菓子工坊對面,酒樓,,,,酒樓,,23.3669745,120.3621081,星期五,10:00 to 18:00,星期六,10:00 to 18:00,星期日,10:00 to 18:00,星期一,休息,星期二,休息,星期三,10:00 to 18:00,星期四,10:00 to 18:00,24,台南市後壁區,98-5號 楊媽媽菓子工坊對面,福阪亭 日式茶屋,4.6,23,90023
731台灣台南市後壁區132號,小吃攤,,,,小吃攤,,23.3863794,120.3801476,星期五,休息,星期六,14:30 to 17:30,星期日,14:30 to 17:30,星期一,休息,星期二,14:30 to 17:00,星期三,休息,星期四,14:30 to 17:00,4,台南市後壁區,132號,上茄苳炸雞翅,5.0,24,90024
732台灣台南市白河區七賢街119號,餐廳,,,,餐廳,,23.348814,120.4141209,星期五,11:00 to 18:20,星期六,11:00 to 18:20,星期日,11:00 to 18:20,星期一,11:00 to 18:20,星期二,11:00 to 18:20,星期三,11:00 to 18:20,星期四,11:00 to 18:20,83,台南市白河區,七賢街119號,葉家牛肉麵,4.0,25,90025
709台灣台南市安南區安中路一段678號,早餐餐廳,,,,早餐餐廳,,23.0425521,120.1965226,星期五,06:00 to 11:00,星期六,06:00 to 11:00,星期日,06:00 to 11:00,星期一,06:00 to 11:00,星期二,06:00 to 11:00,星期三,06:00 to 11:00,星期四,06:00 to 11:00,19,台南市安南區,安中路一段678號,無名早餐店,4.5,26,90026
