S_ID,Name,Store_type,Location_ID,Section,Address,Latitude,Longitude,Rating
5092,Zhengde Park,5,50092,2,"No. 57號, Lane 194, Section 2, Zhonghua N Rd, North District, Tainan City, Taiwan 704",23.019092,120.203074,4.0
5093,Liujia Park,5,50093,2,"No. 11, Lane 200, Section 4, Ximen Rd, North District, Tainan City, Taiwan 704",23.0103499,120.208995,4.1
5094,湖美公園,5,50094,2,"No. 14號, Lane 42, Humei 1st St, West Central District, Tainan City, Taiwan 700",23.0014122,120.1815368,4.2
5095,Shenganxiangcao Sports Park,5,50095,2,"No. 68, Alley 7, Lane 63, Kaiyuan Rd, North District, Tainan City, Taiwan 704",23.0063889,120.2160683,4.0
5096,Daliangshengtai Park,5,50096,2,"700, Taiwan, Tainan City, West Central District",22.99519,120.191127,4.1
5097,Wenling Park,5,50097,2,"704, Taiwan, Tainan City, North District, 文賢三街",23.0167072,120.197858,4.3
5098,Historic Harborside Park Park,5,50098,2,"Anyi Rd, Anping District, Tainan City, Taiwan 708",22.9953611,120.1621471,4.2
5099,Fuping Park,5,50099,2,"Fuping Rd, Anping District, Tainan City, Taiwan 708",22.9875804,120.1719107,4.2
50100,Yubei Park,5,500100,2,"No. 10, Lane 809, Yudeer Rd, North District, Tainan City, Taiwan 704",23.0197748,120.2008631,4.3
50101,Daxing Park,5,500101,2,"No. 1號, Daxing St, North District, Tainan City, Taiwan 704",23.0119176,120.193712,3.9
50102,Beicheng Park,5,500102,2,"No. 23, Alley 22, Lane 80, Beicheng Rd, North District, Tainan City, Taiwan 704",23.0192184,120.2109891,4.2
50103,Dingmei Park,5,500103,2,"700, Taiwan, Tainan City, West Central District",23.0048329,120.1856777,4.4
50104,Wenzhong Park,5,500104,2,"No. 19, Lane 25, Section 2, Zhonghua N Rd, North District, Tainan City, Taiwan 704",23.0176388,120.1942384,3.8
50105,念慈亭,5,500105,2,"704, Taiwan, Tainan City, North District, 704 台灣 燕 潭",23.001552,120.212167,4.0
50106,Changrong Park,5,500106,2,"No. 15, Lane 333, Kaiyuan Rd, North District, Tainan City, Taiwan 704",23.0086813,120.2196232,4.3
50107,Shunde Park,5,500107,2,"No. 368-390, Beicheng Rd, North District, Tainan City, Taiwan 704",23.0196113,120.2028027,3.9
50108,開元公園苦楝樹,5,500108,2,"No. 66, Kainan St, North District, Tainan City, Taiwan 704",23.0066883,120.2240274,4.2
50109,Yuanchang Park,5,500109,2,"No. 25號, Lane 300, Wenxianyi Rd, North District, Tainan City, Taiwan 704",23.0113766,120.1967028,4.1
50110,永康公七公園（祥合公園）,5,500110,2,"No. 12, Lane 283, Zhonghuaer Rd, Yongkang District, Tainan City, Taiwan 710",23.0074401,120.23288,3.8
50111,Dagang Park,5,500111,2,"No. 78號, Lane 192, Daxing St, North District, Tainan City, Taiwan 704",23.0123704,120.1881874,3.3
50112,南榕廣場,5,500112,2,"701, Taiwan, Tainan City, East District",22.9964906,120.2195431,5.0
50113,Chenggong Park,5,500113,2,"No. 58-64, Lane 128, Beicheng Rd, North District, Tainan City, Taiwan 704",23.0209198,120.2098538,3.9
