S_ID,station_no,Store_type,Location_ID,name_tw,district_tw,address_tw,lat,lng,Section
3069,"""501306028""",3,30069,"""文山公園""",台南市仁德區,"""文山路161號對側""","""22.97560""","""120.24647""",31.0
3070,"""501306029""",3,30070,"""仁德國中""",台南市仁德區,"""民安路一段363號""","""22.95614""","""120.24721""",31.0
3071,"""501307001""",3,30071,"""林鳳營車站""",台南市六甲區,"""六甲區中社里林鳳營16號""","""23.24275""","""120.32079""",19.0
3072,"""501307002""",3,30072,"""六甲運動公園""",台南市六甲區,"""和平街479號""","""23.23186""","""120.34362""",19.0
3073,"""501307003""",3,30073,"""六甲國小""",台南市六甲區,"""中正路319號""","""23.22549""","""120.35074""",19.0
3074,"""501308001""",3,30074,"""井仔腳瓦盤鹽田""",台南市北門區,"""北門區井仔腳64號""","""23.25931""","""120.10826""",15.0
3075,"""501308002""",3,30075,"""北門遊客中心""",台南市北門區,"""北門區北門里200號(第一停車場)""","""23.26591""","""120.12360""",15.0
3076,"""501309001""",3,30076,"""大興公園""",台南市北區,"""文賢路/大興街口(西南側)""","""23.01182""","""120.19377""",2.0
3077,"""501309002""",3,30077,"""花園夜市""",台南市北區,"""海安路三段/和緯路三段口(西南側)""","""23.01131""","""120.2004""",2.0
3078,"""501309003""",3,30078,"""和順公園""",台南市北區,"""臨安路二段231號對側""","""23.00399733616001""","""120.20059324732941""",2.0
3079,"""501309004""",3,30079,"""臺南公園(臺南轉運站)""",台南市北區,"""公園路/公園南路口(東北側)""","""23.00176""","""120.20932""",2.0
3080,"""501309005""",3,30080,"""臺南二中""",台南市北區,"""公園北路3號(東北側)""","""23.00397""","""120.21322""",2.0
3081,"""501309006""",3,30081,"""成大醫院(小東路)""",台南市北區,"""小東路35號前""","""23.00108""","""120.21824""",2.0
3082,"""501309007""",3,30082,"""海安成功""",台南市北區,"""海安路三段17號前""","""23.00088""","""120.19879""",2.0
3083,"""501309008""",3,30083,"""福德公園""",台南市北區,"""文成路/育德三街口""","""23.01282""","""120.20197""",2.0
3084,"""501309009""",3,30084,"""延平國中""",台南市北區,"""和緯路一段/長榮路五段401巷口""","""23.01028""","""120.21164""",2.0
3085,"""501309010""",3,30085,"""光武公園""",台南市北區,"""北門路二段591號""","""23.01205""","""120.21663""",2.0
3086,"""501309011""",3,30086,"""成大醫院(東豐路)""",台南市北區,"""東豐路166號前""","""23.00328""","""120.21734""",2.0
3087,"""501309013""",3,30087,"""開元振興公園""",台南市北區,"""開南街60號""","""23.00665""","""120.22420""",2.0
3088,"""501309018""",3,30088,"""立德公園""",台南市北區,"""立賢路一段/育德路口""","""23.00958""","""120.20561""",2.0
3089,"""501309020""",3,30089,"""孝德公園""",台南市北區,"""育德二路421巷26號""","""23.01631""","""120.20152""",2.0
3090,"""501309021""",3,30090,"""勝安香草運動公園""",台南市北區,"""開元路/前鋒路口""","""23.00594""","""120.21618""",2.0
3091,"""501309022""",3,30091,"""小東捐血室""",台南市北區,"""小東路423巷1-2號前""","""22.99874""","""120.23264""",2.0
3092,"""501309023""",3,30092,"""育北公園""",台南市北區,"""育德二路786號(對側人行道)""","""23.01973""","""120.20136""",2.0
3093,"""501309024""",3,30093,"""鄭子寮公園""",台南市北區,"""北安路一段177-30號北側""","""23.02021""","""120.20566""",2.0
3094,"""501309025""",3,30094,"""小東公園""",台南市北區,"""小東路57號東側""","""23.00064""","""120.22511""",2.0
3095,"""501309027""",3,30095,"""北安公園""",台南市北區,"""北安路一段142號""","""23.01736""","""120.20931""",2.0
3096,"""501309028""",3,30096,"""成德公園""",台南市北區,"""育德路500號""","""23.01415""","""120.20666""",2.0
3097,"""501309029""",3,30097,"""凱德公園""",台南市北區,"""育德一街81號(旁公園)""","""23.01564""","""120.20524""",2.0
3098,"""501309030""",3,30098,"""賢北國小""",台南市北區,"""大興街599號""","""23.00782""","""120.17967""",2.0
3099,"""501309031""",3,30099,"""西門公園451巷""",台南市北區,"""西門路四段170號北側""","""23.00988""","""120.20825""",2.0
30100,"""501309032""",3,300100,"""賢北停車場""",台南市北區,"""賢北街61號東側""","""23.00884""","""120.18303""",2.0
30101,"""501309033""",3,300101,"""北區陽光公園""",台南市北區,"""育德二路60號西側""","""23.00818""","""120.20264""",2.0
30102,"""501309034""",3,300102,"""臺南車站(前站二)""",台南市北區,"""北門路二段3號旁""","""22.99772""","""120.21193""",2.0
30103,"""501309035""",3,300103,"""正德順德公園""",台南市北區,"""中華北路二段194巷57號西側""","""23.01947""","""120.20324""",2.0
30104,"""501309036""",3,300104,"""文靈公園""",台南市北區,"""文賢三街348號西側""","""23.01701""","""120.19788""",2.0
30105,"""501309037""",3,300105,"""文元公園""",台南市北區,"""文成路637號北側""","""23.01247""","""120.19815""",2.0
30106,"""501309038""",3,300106,"""北園公園""",台南市北區,"""北園街114巷5號""","""23.01320""","""120.22393""",2.0
30107,"""501309039""",3,300107,"""東豐長榮""",台南市北區,"""東豐路295號南側""","""23.00239""","""120.22315""",2.0
30108,"""501309040""",3,300108,"""小北棒球場(文成五育德一)""",台南市北區,"""文成五路66號南側""","""23.01868""","""120.20496""",2.0
30109,"""501309041""",3,300109,"""臺南市桌球館""",台南市北區,"""東豐路458號""","""23.00185""","""120.22652""",2.0
30110,"""501309043""",3,300110,"""成大醫院成杏校區(東豐路)""",台南市北區,"""東豐路221號南側""","""23.00280""","""120.22037""",2.0
30111,"""501309045""",3,300111,"""北元公園""",台南市北區,"""海安路三段985巷46號南側""","""23.01920""","""120.19870""",2.0
