title,id,kind_name,room_str,floor_str,community,price,price_unit,section_name,street_name,location,area
【大晟社會住宅】全新高級傢俱正兩房含管,16458378,整層住家,2房2廳,7F/15F,昕視界,"24,000",元/月,東區,德東街,東區-德東街,18.6
@安家租賃善化店@東區崇學三房平車,16502848,整層住家,3房2廳,6F/15F,崇學苑,"25,000",元/月,東區,崇德三街,東區-崇德三街,24.8
成大奇美生活圈可合租超大空間美4房,16502428,整層住家,4房2廳,4F/4F,,"22,500",元/月,北區,長榮路五段,北區-長榮路五段,36.2
免仲介費🐿️清景鄰萬坪公園2房平車✨,16502388,整層住家,2房2廳,13F/14F,清景麟巴克禮,"19,800",元/月,東區,崇元一街,東區-崇元一街,25.0
市中心兩房家具電全有車位可短租,16498021,整層住家,2房1廳,8F/9F,大傳WH2,"28,000",元/月,北區,公園南路,北區-公園南路233巷,16.0
免仲介費⭐北府苑｜明星學區採光3房,16120648,整層住家,3房2廳,3F/15F,遠雄北府苑,"31,000",元/月,北區,文成一路,北區-文成一路,23.0
新源邸朝東面公園・輕裝大兩房寓・謝絕八大,16488896,整層住家,2房2廳,6F/24F,遠雄新源邸,"27,000",元/月,北區,海安路三段,北區-海安路三段,29.0
南大容譽校區，和室原木裝潢/一大房一廳,16387450,整層住家,1房1廳,5F/6F,文化皇冠乙區A,"10,000",元/月,東區,榮譽街,東區-榮譽街,13.0
兆基屋管#可寵租補營登#北區裝潢兩房平車,16483938,整層住家,2房1廳,2F/5F,大傳WH8,"30,000",元/月,北區,長北街,北區-長北街,15.3
夢時代三房車寓(租),16480352,整層住家,3房2廳,1F/11F,大鵬新城CD,"23,000",元/月,東區,怡東路,東區-怡東路150巷,43.0
正東區崇德商圈3房2廳整層住家,16471006,整層住家,3房2廳,10F/15F,崇學苑,"28,000",元/月,東區,崇德三街,東區-崇德三街,46.0
東區電梯大樓，全新裝潢整理生活機能佳,16458047,整層住家,2房1廳,6F/7F,大樓,"20,000",元/月,東區,利東街,東區-利東街,19.0
市醫學區2房2衛2廳拎包入住(有車位),16457500,整層住家,2房2廳,2F/7F,知築七,"21,800",元/月,東區,崇明二十二街,東區-崇明二十二街36號,17.0
台南大學旁學生宿舍-三房兩廳/七月起租,16449646,整層住家,3房2廳,3F/4F,,"15,000",元/月,中西區,健康路一段,中西區-健康路一段170巷1弄,29.0
學生最愛近南大榮譽校區崇德商圈仁和商圈,16442253,整層住家,6房2廳,整棟/4F,,"29,000",元/月,東區,崇善十二街,東區-崇善十二街56巷,70.0
成大育樂街獨立套房(已下訂了哦),16437555,整層住家,1房1廳,4F/5F,,"8,000",元/月,東區,育樂街,東區-育樂街57巷3號,8.0
遠雄北府苑/明星學區/全新裝潢家電,16422246,整層住家,3房2廳,15F/15F,遠雄北府苑,"33,000",元/月,北區,文成一路,北區-文成一路88號,26.0
不用管社宅~大坪數三房/原木裝潢~附車位,16415709,整層住家,3房2廳,4F/12F,大鵬新城CD,"20,000",元/月,東區,怡東路,東區-怡東路150巷,28.8
梅茱精選近文化中心巴克禮公園崇明三房平車,16241427,整層住家,3房2廳,2F/9F,文化傳家A,"27,000",元/月,東區,中華東路三段,東區-中華東路三段399巷,29.3
【不用管社宅】東區全配3房~附平車,16224700,整層住家,3房2廳,4F/9F,中華禮居大廈,"22,000",元/月,東區,富農街一段,東區-富農街一段131巷,36.0
成大醫院成功大學長榮中學夢時代台南大學,16394420,整層住家,3房2廳,4F/4F,,"13,000",元/月,東區,衛國街,東區-衛國街112巷8號,24.5
站前超大3房兩大廳兩衛全新整理舒適設備全,16394058,整層住家,3房2廳,5F/5F,,"15,000",元/月,北區,福德街,北區-福德街10號,38.0
【阿陽】富立DC可租車位溫馨2+1房,16391730,整層住家,3房2廳,4F/25F,富立世紀DC,"30,000",元/月,中西區,民生路二段,中西區-民生路二段,32.2
