station_no,name_tw,district_tw,address_tw,lat,lng
"""501306006""","""保華崇德""","""仁德區""","""保華路245號北側""","""22.95923""","""120.22681"""
"""501306007""","""衛福部胸腔病院""","""仁德區""","""文心路/中山路口(東南側)""","""22.97435""","""120.24154"""
"""501306008""","""中華醫事科技大學""","""仁德區""","""文華一街89號前""","""22.96079""","""120.24341"""
"""501306009""","""仁德運動公園""","""仁德區""","""仁義路221號南側""","""22.96848""","""120.25846"""
"""501306010""","""仁中公園""","""仁德區""","""仁中三街75號北側""","""22.96338""","""120.25161"""
"""501306011""","""德南國小""","""仁德區""","""中正路二段209號""","""22.94910""","""120.25125"""
"""501306012""","""文宏公園""","""仁德區""","""文宏路268號西側""","""22.97715""","""120.24336"""
"""501306014""","""南147線(奇美)""","""仁德區""","""中正路一段398號北側""","""22.92754""","""120.24305"""
"""501306015""","""中洲車站""","""仁德區""","""中洲五街236號""","""22.90449""","""120.25289"""
"""501306016""","""中洲中生""","""仁德區""","""中洲路750號""","""22.90796""","""120.25056"""
"""501306018""","""清王公園""","""仁德區""","""行大街8號南側""","""22.91633""","""120.22362"""
"""501306019""","""港尾溝溪滯洪池""","""仁德區""","""中正路一段95號南側""","""22.91883""","""120.23155"""
"""501306020""","""仁德車站""","""仁德區""","""永德路10號北側""","""22.92385""","""120.24049"""
"""501306021""","""仁德文賢國中""","""仁德區""","""中正路一段185號""","""22.92106""","""120.23499"""
"""501306022""","""中正太子路口""","""仁德區""","""中正路三段701號南側""","""22.99121""","""120.25560"""
"""501306023""","""仁德忠義中正""","""仁德區""","""忠義路260號""","""22.97664""","""120.25437"""
"""501306027""","""仁德區公所""","""仁德區""","""中正路三段5號""","""22.97224""","""120.25181"""
"""501306028""","""文山公園""","""仁德區""","""文山路161號對側""","""22.97560""","""120.24647"""
"""501306029""","""仁德國中""","""仁德區""","""民安路一段363號""","""22.95614""","""120.24721"""
"""501307001""","""林鳳營車站""","""六甲區""","""六甲區中社里林鳳營16號""","""23.24275""","""120.32079"""
"""501307002""","""六甲運動公園""","""六甲區""","""和平街479號""","""23.23186""","""120.34362"""
"""501307003""","""六甲國小""","""六甲區""","""中正路319號""","""23.22549""","""120.35074"""
"""501308001""","""井仔腳瓦盤鹽田""","""北門區""","""北門區井仔腳64號""","""23.25931""","""120.10826"""
"""501308002""","""北門遊客中心""","""北門區""","""北門區北門里200號(第一停車場)""","""23.26591""","""120.12360"""
"""501309001""","""大興公園""","""北區""","""文賢路/大興街口(西南側)""","""23.01182""","""120.19377"""
"""501309002""","""花園夜市""","""北區""","""海安路三段/和緯路三段口(西南側)""","""23.01131""","""120.2004"""
"""501309003""","""和順公園""","""北區""","""臨安路二段231號對側""","""23.00399733616001""","""120.20059324732941"""
"""501309004""","""臺南公園(臺南轉運站)""","""北區""","""公園路/公園南路口(東北側)""","""23.00176""","""120.20932"""
"""501309005""","""臺南二中""","""北區""","""公園北路3號(東北側)""","""23.00397""","""120.21322"""
"""501309006""","""成大醫院(小東路)""","""北區""","""小東路35號前""","""23.00108""","""120.21824"""
"""501309007""","""海安成功""","""北區""","""海安路三段17號前""","""23.00088""","""120.19879"""
"""501309008""","""福德公園""","""北區""","""文成路/育德三街口""","""23.01282""","""120.20197"""
"""501309009""","""延平國中""","""北區""","""和緯路一段/長榮路五段401巷口""","""23.01028""","""120.21164"""
"""501309010""","""光武公園""","""北區""","""北門路二段591號""","""23.01205""","""120.21663"""
"""501309011""","""成大醫院(東豐路)""","""北區""","""東豐路166號前""","""23.00328""","""120.21734"""
"""501309013""","""開元振興公園""","""北區""","""開南街60號""","""23.00665""","""120.22420"""
"""501309018""","""立德公園""","""北區""","""立賢路一段/育德路口""","""23.00958""","""120.20561"""
"""501309020""","""孝德公園""","""北區""","""育德二路421巷26號""","""23.01631""","""120.20152"""
"""501309021""","""勝安香草運動公園""","""北區""","""開元路/前鋒路口""","""23.00594""","""120.21618"""
"""501309022""","""小東捐血室""","""北區""","""小東路423巷1-2號前""","""22.99874""","""120.23264"""
"""501309023""","""育北公園""","""北區""","""育德二路786號(對側人行道)""","""23.01973""","""120.20136"""
"""501309024""","""鄭子寮公園""","""北區""","""北安路一段177-30號北側""","""23.02021""","""120.20566"""
