R_ID,Title,Type,ReviewsCount,Score,Location_ID
388,麥雅印度咖喱 Maiya Indian Curry Halal,13,145,4.6,1000388
389,長春健康素食餐飲連鎖開元店,22,619,4.2,1000389
390,活水早餐店,2,123,4.2,1000390
391,頡寶牛肉麵,3,579,4.5,1000391
392,Funkoo Bar - Mexican Cuisine & Bar,56,407,4.3,1000392
393,赤崁璽樓蔬食,22,2134,4.5,1000393
394,東家牛肉麵,3,59,4.3,1000394
395,欣欣餐廳(阿塗師),7,821,4.2,1000395
396,遠東CAFÉ,57,2425,4.4,1000396
397,媽媽早餐店,2,13,3.8,1000397
398,懶日子桌遊餐廳Lazyday table dining restaurant,6,409,4.2,1000398
399,主廚帽印度餐廳,13,723,4.7,1000399
400,麥當勞-永康中華三餐廳,12,345,3.7,1000400
401,Principe 原則,58,160,4.5,1000401
402,廚房有雞花雕雞 北安旗艦店,9,3240,4.7,1000402
403,黑店船屋餐廳(Vanaheim 愛莊園),6,9,3.6,1000403
404,永林綜合料理 Yonlin Restaurant,6,2801,4.4,1000404
405,古家手作 Restaurant 鴨香飯 （北成總店）,24,387,4.0,1000405
406,衫樽串燒居酒屋,59,708,4.4,1000406
407,is義式餐廳,60,929,4.3,1000407
408,萬香現撈海鮮.燒烤.熱炒.羊肉爐,21,645,4.2,1000408
409,8818 Pizza Restaurant 比薩屋-永康店,6,965,4.0,1000409
410,古城豆花庄（老店）,7,3872,4.4,1000410
411,莘咖哩 VeganersWorld,13,2630,4.9,1000411
412,麥當勞-台南民族店,12,1668,3.9,1000412
413,麥當勞-安南北安店,12,2333,4.0,1000413
414,麥當勞-台南東區大學店,12,2894,3.8,1000414
415,麥當勞-台南永康中華餐廳,12,2978,3.9,1000415
416,銀日式居酒屋,14,103,3.9,1000416
417,肯德基 台南中華餐廳,12,3885,3.9,1000417
418,台南轉角餐廳CORNER STEAK HOUSE｜台南牛排餐廳｜成大美食餐廳｜尾牙婚宴包場,61,1822,4.3,1000418
419,SK尚恩美式餐廳,62,761,4.5,1000419
420,INDIANA RESTAURANT 印度餐廳,25,63,4.6,1000420
421,村長餐廳,63,123,4.4,1000421
422,東原美而美漢堡店,2,5,5.0,1000422
423,東農餐廳,6,2,5.0,1000423
424,東原牛肉麵陽春麵,6,25,4.5,1000424
425,四海飯店-曾文水庫餐廳 | 團體合菜 | 招牌水庫魚 | 養生山菜 | 筍殼魚料理,6,244,4.5,1000425
426,烏山頭早餐店,2,1,5.0,1000426
427,北平刀削牛肉麵,3,210,4.4,1000427
428,洪家莊牛肉麵,3,182,4.1,1000428
429,玉井阿娟早餐店,2,111,4.3,1000429
430,來來早餐店,2,14,4.7,1000430
431,美乃滋早餐店(美隆興餅舖),2,19,4.4,1000431
432,田園漢堡早餐店(漢堡蛋餅),2,2,5.0,1000432
433,小豆荳早餐店,2,17,4.6,1000433
434,柳營明月早餐店,6,30,4.4,1000434
435,山寨家庭餐廳,6,376,4.1,1000435
436,小猴子複合式餐廳：Little Monkey Restaurant,64,451,4.3,1000436
437,廳舍餐廳,6,524,4.3,1000437
438,新萬香餐廳,7,2577,3.9,1000438
439,宏珍宴席餐廳,65,486,4.1,1000439
440,四川牛肉麵,6,94,4.1,1000440
441,月津懷舊食堂Yuejin Nostalgia Restaurant,3,117,4.0,1000441
442,無名早餐店,2,1,5.0,1000442
443,東北牛肉麵,3,74,4.0,1000443
444,舊七里香早餐店,2,9,4.3,1000444
445,無名早餐店,2,4,5.0,1000445
446,小紅堂牛肉麵,3,406,4.6,1000446
447,櫻居酒屋,66,9,4.9,1000447
448,海宴餐廳,6,808,4.4,1000448
