S_id,Type,Name,Location_ID
20112,2,垃圾車3656,200112
20113,2,垃圾車3657,200113
20114,2,垃圾車3658,200114
20115,2,垃圾車3659,200115
20116,2,垃圾車3660,200116
20117,2,垃圾車3661,200117
20118,2,垃圾車3662,200118
20119,2,垃圾車3663,200119
20120,2,垃圾車3664,200120
20121,2,垃圾車3665,200121
20122,2,垃圾車3666,200122
20123,2,垃圾車3667,200123
20124,2,垃圾車3668,200124
20125,2,垃圾車3669,200125
20126,2,垃圾車3670,200126
20127,2,垃圾車3671,200127
20128,2,垃圾車3672,200128
20129,2,垃圾車3673,200129
20130,2,垃圾車3674,200130
20131,2,垃圾車3675,200131
20132,2,垃圾車3676,200132
20133,2,垃圾車3677,200133
20134,2,垃圾車3678,200134
20135,2,垃圾車3679,200135
20136,2,垃圾車3680,200136
20137,2,垃圾車3681,200137
20138,2,垃圾車3682,200138
20139,2,垃圾車3683,200139
20140,2,垃圾車3684,200140
20141,2,垃圾車3685,200141
20142,2,垃圾車3686,200142
20143,2,垃圾車3687,200143
20144,2,垃圾車3688,200144
20145,2,垃圾車3689,200145
20146,2,垃圾車3690,200146
20147,2,垃圾車3691,200147
20148,2,垃圾車3692,200148
20149,2,垃圾車3693,200149
20150,2,垃圾車3694,200150
20151,2,垃圾車3695,200151
20152,2,垃圾車3696,200152
20153,2,垃圾車3697,200153
20154,2,垃圾車3698,200154
20155,2,垃圾車3699,200155
20156,2,垃圾車3700,200156
20157,2,垃圾車3701,200157
20158,2,垃圾車3702,200158
20159,2,垃圾車3703,200159
20160,2,垃圾車3704,200160
20161,2,垃圾車3705,200161
20162,2,垃圾車3706,200162
20163,2,垃圾車3707,200163
20164,2,垃圾車3708,200164
20165,2,垃圾車3709,200165
20166,2,垃圾車3710,200166
20167,2,垃圾車3711,200167
20168,2,垃圾車3712,200168
20169,2,垃圾車3713,200169
20170,2,垃圾車3714,200170
20171,2,垃圾車3715,200171
20172,2,垃圾車3743,200172
20173,2,垃圾車3744,200173
20174,2,垃圾車3745,200174
20175,2,垃圾車3746,200175
20176,2,垃圾車3747,200176
20177,2,垃圾車3748,200177
20178,2,垃圾車3749,200178
20179,2,垃圾車3750,200179
20180,2,垃圾車3751,200180
20181,2,垃圾車3752,200181
20182,2,垃圾車3753,200182
20183,2,垃圾車3754,200183
20184,2,垃圾車3755,200184
20185,2,垃圾車3756,200185
20186,2,垃圾車3757,200186
20187,2,垃圾車3758,200187
20188,2,垃圾車3759,200188
20189,2,垃圾車3760,200189
20190,2,垃圾車3761,200190
20191,2,垃圾車3762,200191
20192,2,垃圾車3763,200192
20193,2,垃圾車3764,200193
20194,2,垃圾車3765,200194
20195,2,垃圾車3766,200195
20196,2,垃圾車3767,200196
20197,2,垃圾車3768,200197
20198,2,垃圾車3769,200198
20199,2,垃圾車3770,200199
20200,2,垃圾車3771,200200
20201,2,垃圾車3772,200201
20202,2,垃圾車3773,200202
20203,2,垃圾車3774,200203
20204,2,垃圾車3775,200204
20205,2,垃圾車3776,200205
20206,2,垃圾車3777,200206
20207,2,垃圾車3778,200207
20208,2,垃圾車3779,200208
20209,2,垃圾車3780,200209
20210,2,垃圾車3781,200210
20211,2,垃圾車3782,200211
20212,2,垃圾車3783,200212
20213,2,垃圾車3784,200213
20214,2,垃圾車3785,200214
20215,2,垃圾車3786,200215
20216,2,垃圾車3787,200216
20217,2,垃圾車3788,200217
20218,2,垃圾車3789,200218
20219,2,垃圾車3790,200219
20220,2,垃圾車3791,200220
20221,2,垃圾車3792,200221
20222,2,垃圾車3793,200222
20223,2,垃圾車3794,200223
20224,2,垃圾車3795,200224
20225,2,垃圾車3796,200225
20226,2,垃圾車3797,200226
20227,2,垃圾車3798,200227
20228,2,垃圾車3799,200228
20229,2,垃圾車3800,200229
20230,2,垃圾車3801,200230
20231,2,垃圾車3802,200231
20232,2,垃圾車3803,200232
20233,2,垃圾車3804,200233
20234,2,垃圾車3805,200234
20235,2,垃圾車3806,200235
20236,2,垃圾車3807,200236
20237,2,垃圾車3808,200237
20238,2,垃圾車3809,200238
20239,2,垃圾車3810,200239
20240,2,垃圾車3811,200240
20241,2,垃圾車3812,200241
20242,2,垃圾車3813,200242
20243,2,垃圾車3814,200243
20244,2,垃圾車3815,200244
20245,2,垃圾車3816,200245
20246,2,垃圾車3817,200246
20247,2,垃圾車3818,200247
20248,2,垃圾車3819,200248
20249,2,垃圾車3820,200249
20250,2,垃圾車3821,200250
20251,2,垃圾車3822,200251
20252,2,垃圾車3823,200252
20253,2,垃圾車3824,200253
20254,2,垃圾車3825,200254
20255,2,垃圾車3826,200255
20256,2,垃圾車3827,200256
20257,2,垃圾車3828,200257
20258,2,垃圾車3829,200258
20259,2,垃圾車3830,200259
20260,2,垃圾車3831,200260
20261,2,垃圾車3832,200261
20262,2,垃圾車3833,200262
20263,2,垃圾車3834,200263
20264,2,垃圾車3835,200264
20265,2,垃圾車3836,200265
20266,2,垃圾車3837,200266
20267,2,垃圾車3838,200267
20268,2,垃圾車3839,200268
20269,2,垃圾車3840,200269
20270,2,垃圾車3841,200270
20271,2,垃圾車3842,200271
20272,2,垃圾車3843,200272
20273,2,垃圾車3844,200273
20274,2,垃圾車3869,200274
20275,2,垃圾車3870,200275
20276,2,垃圾車3871,200276
20277,2,垃圾車3872,200277
20278,2,垃圾車3873,200278
20279,2,垃圾車3874,200279
20280,2,垃圾車3875,200280
20281,2,垃圾車3876,200281
20282,2,垃圾車3877,200282
20283,2,垃圾車3878,200283
20284,2,垃圾車3879,200284
20285,2,垃圾車3880,200285
20286,2,垃圾車3881,200286
20287,2,垃圾車3882,200287
20288,2,垃圾車3883,200288
20289,2,垃圾車3884,200289
20290,2,垃圾車3885,200290
20291,2,垃圾車3886,200291
20292,2,垃圾車3887,200292
20293,2,垃圾車3888,200293
20294,2,垃圾車3889,200294
20295,2,垃圾車3890,200295
20296,2,垃圾車3891,200296
20297,2,垃圾車3892,200297
20298,2,垃圾車3893,200298
20299,2,垃圾車3894,200299
20300,2,垃圾車3895,200300
20301,2,垃圾車3896,200301
20302,2,垃圾車3897,200302
20303,2,垃圾車3898,200303
20304,2,垃圾車3899,200304
20305,2,垃圾車3900,200305
20306,2,垃圾車3901,200306
20307,2,垃圾車3902,200307
20308,2,垃圾車3903,200308
20309,2,垃圾車3904,200309
20310,2,垃圾車3905,200310
20311,2,垃圾車3906,200311
20312,2,垃圾車3907,200312
20313,2,垃圾車3908,200313
20314,2,垃圾車3909,200314
20315,2,垃圾車3910,200315
20316,2,垃圾車3911,200316
20317,2,垃圾車3912,200317
20318,2,垃圾車3913,200318
20319,2,垃圾車3914,200319
20320,2,垃圾車3915,200320
20321,2,垃圾車3916,200321
20322,2,垃圾車3917,200322
20323,2,垃圾車3918,200323
20324,2,垃圾車3919,200324
20325,2,垃圾車3920,200325
20326,2,垃圾車3921,200326
20327,2,垃圾車3922,200327
20328,2,垃圾車3923,200328
20329,2,垃圾車3924,200329
20330,2,垃圾車3925,200330
20331,2,垃圾車3926,200331
20332,2,垃圾車3927,200332
20333,2,垃圾車3928,200333
20334,2,垃圾車3929,200334
20335,2,垃圾車3931,200335
20336,2,垃圾車3932,200336
20337,2,垃圾車3933,200337
20338,2,垃圾車3934,200338
20339,2,垃圾車3935,200339
20340,2,垃圾車3936,200340
20341,2,垃圾車3937,200341
20342,2,垃圾車3938,200342
20343,2,垃圾車3939,200343
20344,2,垃圾車3940,200344
20345,2,垃圾車3941,200345
20346,2,垃圾車3942,200346
20347,2,垃圾車3943,200347
20348,2,垃圾車3944,200348
20349,2,垃圾車3945,200349
20350,2,垃圾車3946,200350
20351,2,垃圾車3947,200351
20352,2,垃圾車3948,200352
20353,2,垃圾車3949,200353
20354,2,垃圾車3950,200354
20355,2,垃圾車3951,200355
20356,2,垃圾車3952,200356
20357,2,垃圾車3953,200357
20358,2,垃圾車3954,200358
20359,2,垃圾車3955,200359
20360,2,垃圾車3956,200360
20361,2,垃圾車3957,200361
20362,2,垃圾車3958,200362
20363,2,垃圾車3959,200363
20364,2,垃圾車3960,200364
20365,2,垃圾車3961,200365
20366,2,垃圾車3962,200366
20367,2,垃圾車3963,200367
20368,2,垃圾車3964,200368
20369,2,垃圾車3965,200369
20370,2,垃圾車3966,200370
20371,2,垃圾車3967,200371
20372,2,垃圾車3968,200372
20373,2,垃圾車3969,200373
20374,2,垃圾車3970,200374
20375,2,垃圾車3971,200375
20376,2,垃圾車3972,200376
20377,2,垃圾車3973,200377
20378,2,垃圾車3974,200378
20379,2,垃圾車3975,200379
20380,2,垃圾車3976,200380
20381,2,垃圾車3977,200381
20382,2,垃圾車3978,200382
20383,2,垃圾車3979,200383
20384,2,垃圾車3980,200384
20385,2,垃圾車3981,200385
20386,2,垃圾車3982,200386
20387,2,垃圾車3983,200387
20388,2,垃圾車3984,200388
20389,2,垃圾車3985,200389
20390,2,垃圾車3986,200390
20391,2,垃圾車3987,200391
20392,2,垃圾車3988,200392
20393,2,垃圾車3989,200393
20394,2,垃圾車3990,200394
20395,2,垃圾車3991,200395
20396,2,垃圾車3992,200396
20397,2,垃圾車3993,200397
20398,2,垃圾車3994,200398
20399,2,垃圾車3995,200399
20400,2,垃圾車3996,200400
20401,2,垃圾車3997,200401
20402,2,垃圾車3998,200402
20403,2,垃圾車3999,200403
20404,2,垃圾車4000,200404
20405,2,垃圾車4001,200405
20406,2,垃圾車4002,200406
20407,2,垃圾車4003,200407
20408,2,垃圾車4004,200408
20409,2,垃圾車4005,200409
20410,2,垃圾車4006,200410
20411,2,垃圾車4007,200411
20412,2,垃圾車4008,200412
20413,2,垃圾車4009,200413
20414,2,垃圾車4010,200414
20415,2,垃圾車4011,200415
20416,2,垃圾車4012,200416
20417,2,垃圾車4013,200417
20418,2,垃圾車4014,200418
20419,2,垃圾車4015,200419
20420,2,垃圾車4016,200420
20421,2,垃圾車4017,200421
20422,2,垃圾車4018,200422
20423,2,垃圾車4019,200423
20424,2,垃圾車4020,200424
20425,2,垃圾車4021,200425
20426,2,垃圾車4022,200426
20427,2,垃圾車4023,200427
20428,2,垃圾車4024,200428
20429,2,垃圾車4025,200429
20430,2,垃圾車4026,200430
20431,2,垃圾車4027,200431
20432,2,垃圾車4028,200432
20433,2,垃圾車4029,200433
20434,2,垃圾車4030,200434
20435,2,垃圾車4031,200435
20436,2,垃圾車4032,200436
20437,2,垃圾車4033,200437
20438,2,垃圾車4034,200438
20439,2,垃圾車4035,200439
20440,2,垃圾車4036,200440
20441,2,垃圾車4037,200441
20442,2,垃圾車4038,200442
20443,2,垃圾車4039,200443
20444,2,垃圾車4040,200444
20445,2,垃圾車4041,200445
20446,2,垃圾車4042,200446
20447,2,垃圾車4043,200447
20448,2,垃圾車4044,200448
20449,2,垃圾車4045,200449
20450,2,垃圾車4046,200450
20451,2,垃圾車19036,200451
20452,2,垃圾車4047,200452
20453,2,垃圾車4048,200453
20454,2,垃圾車4049,200454
20455,2,垃圾車4050,200455
20456,2,垃圾車4051,200456
20457,2,垃圾車4052,200457
20458,2,垃圾車4053,200458
20459,2,垃圾車4054,200459
20460,2,垃圾車4055,200460
20461,2,垃圾車4056,200461
20462,2,垃圾車4057,200462
20463,2,垃圾車4058,200463
20464,2,垃圾車4059,200464
20465,2,垃圾車4060,200465
20466,2,垃圾車4061,200466
20467,2,垃圾車4062,200467
20468,2,垃圾車4063,200468
20469,2,垃圾車4064,200469
20470,2,垃圾車4065,200470
20471,2,垃圾車4066,200471
20472,2,垃圾車4067,200472
20473,2,垃圾車4068,200473
20474,2,垃圾車4069,200474
20475,2,垃圾車4070,200475
20476,2,垃圾車4071,200476
20477,2,垃圾車4072,200477
20478,2,垃圾車4073,200478
20479,2,垃圾車4074,200479
20480,2,垃圾車4075,200480
